,SRO
2332.8MHz,6.78
2333.0MHz,6.78
2333.2MHz,6.78
2333.4MHz,6.78
2333.6MHz,6.78
2333.8MHz,6.78
2334.0MHz,6.78
2334.2MHz,6.78
2334.4MHz,6.78
2334.6MHz,5.08
2334.8MHz,5.08
2335.0MHz,5.08
2335.2MHz,5.08
2335.4MHz,3.39
2335.6MHz,1.69
2335.8MHz,0.0
2336.0MHz,0.0
2336.2MHz,0.0
2336.4MHz,0.0
2336.6MHz,0.0
2336.8MHz,0.0
2337.0MHz,0.0
2337.2MHz,0.0
2337.4MHz,1.69
2337.6MHz,0.0
2337.8MHz,0.0
2338.0MHz,0.0
2338.2MHz,0.0
2338.4MHz,0.0
2338.6MHz,0.0
2338.8MHz,0.0
2339.0MHz,0.0
2339.2MHz,0.0
2339.4MHz,0.0
2339.6MHz,0.0
2339.8MHz,0.0
2340.0MHz,0.0
2340.2MHz,0.0
2340.4MHz,0.0
2340.6MHz,1.69
2340.8MHz,1.69
2341.0MHz,1.69
2341.2MHz,1.69
2341.4MHz,1.69
2341.6MHz,1.69
2341.8MHz,1.69
2342.0MHz,1.69
2342.2MHz,1.69
2342.4MHz,1.69
2342.6MHz,1.69
2342.8MHz,1.69
2343.0MHz,1.69
2343.2MHz,1.69
2343.4MHz,1.69
2343.6MHz,1.69
2343.8MHz,1.69
2344.0MHz,1.69
2344.2MHz,1.69
2344.4MHz,1.69
2344.6MHz,1.69
2344.8MHz,1.69
2345.0MHz,1.69
2345.2MHz,1.69
2345.4MHz,1.69
2345.6MHz,1.69
2345.8MHz,1.69
2346.0MHz,1.69
2346.2MHz,1.69
2346.4MHz,1.69
2346.6MHz,3.39
2346.8MHz,3.39
2347.0MHz,5.08
2347.2MHz,5.08
2347.4MHz,6.78
2347.6MHz,6.78
2347.8MHz,10.17
2348.0MHz,13.56
2348.2MHz,22.03
2348.4MHz,28.81
2348.6MHz,28.81
2348.8MHz,18.64
2349.0MHz,10.17
2349.2MHz,6.78
2349.4MHz,6.78
2349.6MHz,3.39
2349.8MHz,1.69
2350.0MHz,5.08
2350.2MHz,5.08
2350.4MHz,5.08
2350.6MHz,5.08
2350.8MHz,5.08
2351.0MHz,6.78
2351.2MHz,16.95
2351.4MHz,37.29
2351.6MHz,40.68
2351.8MHz,32.2
2352.0MHz,16.95
2352.2MHz,10.17
2352.4MHz,6.78
2352.6MHz,6.78
2352.8MHz,6.78
2353.0MHz,6.78
2353.2MHz,6.78
2353.4MHz,6.78
2353.6MHz,6.78
2353.8MHz,8.47
2354.0MHz,8.47
2354.2MHz,6.78
2354.4MHz,6.78
2354.6MHz,6.78
2354.8MHz,6.78
2355.0MHz,6.78
2355.2MHz,6.78
2355.4MHz,8.47
2355.6MHz,6.78
2355.8MHz,8.47
2356.0MHz,8.47
2356.2MHz,8.47
2356.4MHz,10.17
2356.6MHz,10.17
2356.8MHz,10.17
2357.0MHz,10.17
2357.2MHz,10.17
2357.4MHz,10.17
2357.6MHz,10.17
2357.8MHz,10.17
2358.0MHz,10.17
2358.2MHz,10.17
2358.4MHz,10.17
2358.6MHz,10.17
2358.8MHz,10.17
2359.0MHz,10.17
2359.2MHz,10.17
2359.4MHz,10.17
2359.6MHz,10.17
2359.8MHz,10.17
2360.0MHz,10.17
2360.2MHz,10.17
2360.4MHz,10.17
2360.6MHz,10.17
2360.8MHz,10.17
2361.0MHz,10.17
2361.2MHz,10.17
2361.4MHz,10.17
2361.6MHz,10.17
2361.8MHz,10.17
2362.0MHz,10.17
2362.2MHz,10.17
2362.4MHz,10.17
2362.6MHz,10.17
2362.8MHz,10.17
2363.0MHz,10.17
2363.2MHz,10.17
2363.4MHz,10.17
2363.6MHz,10.17
2363.8MHz,10.17
2364.0MHz,10.17
2364.2MHz,10.17
2364.4MHz,10.17
2364.6MHz,10.17
2364.8MHz,10.17
2365.0MHz,10.17
2365.2MHz,10.17
2365.4MHz,10.17
2365.6MHz,10.17
2365.8MHz,10.17
2366.0MHz,10.17
2366.2MHz,10.17
2366.4MHz,10.17
2366.6MHz,10.17
2366.8MHz,10.17
2367.0MHz,10.17
2367.2MHz,10.17
2367.4MHz,10.17
2367.6MHz,10.17
2367.8MHz,10.17
2368.0MHz,10.17
2368.2MHz,10.17
2368.4MHz,10.17
2368.6MHz,10.17
2368.8MHz,10.17
2369.0MHz,10.17
2369.2MHz,10.17
2369.4MHz,10.17
2369.6MHz,10.17
2369.8MHz,10.17
2370.0MHz,10.17
2370.2MHz,10.17
2370.4MHz,10.17
2370.6MHz,10.17
2370.8MHz,10.17
2371.0MHz,10.17
2371.2MHz,10.17
2371.4MHz,10.17
2371.6MHz,10.17
2371.8MHz,10.17
2372.0MHz,10.17
2372.2MHz,10.17
2372.4MHz,10.17
2372.6MHz,10.17
2372.8MHz,10.17
2373.0MHz,10.17
2373.2MHz,10.17
2373.4MHz,10.17
2373.6MHz,10.17
2373.8MHz,10.17
2374.0MHz,10.17
2374.2MHz,10.17
2374.4MHz,10.17
2374.6MHz,10.17
2374.8MHz,10.17
2375.0MHz,10.17
2375.2MHz,10.17
2375.4MHz,10.17
2375.6MHz,10.17
2375.8MHz,10.17
2376.0MHz,10.17
2376.2MHz,10.17
2376.4MHz,10.17
2376.6MHz,10.17
2376.8MHz,10.17
2377.0MHz,10.17
2377.2MHz,10.17
2377.4MHz,8.47
2377.6MHz,8.47
2377.8MHz,8.47
2378.0MHz,8.47
2378.2MHz,8.47
2378.4MHz,8.47
2378.6MHz,8.47
2378.8MHz,8.47
2379.0MHz,8.47
2379.2MHz,8.47
2379.4MHz,8.47
2379.6MHz,8.47
2379.8MHz,8.47
2380.0MHz,8.47
2380.2MHz,8.47
2380.4MHz,8.47
2380.6MHz,8.47
2380.8MHz,6.78
2381.0MHz,5.08
2381.2MHz,5.08
2381.4MHz,5.08
2381.6MHz,5.08
2381.8MHz,5.08
2382.0MHz,5.08
2382.2MHz,5.08
2382.4MHz,5.08
2382.6MHz,5.08
2382.8MHz,5.08
2383.0MHz,5.08
2383.2MHz,5.08
2383.4MHz,5.08
2383.6MHz,5.08
2383.8MHz,5.08
2384.0MHz,5.08
2384.2MHz,5.08
2384.4MHz,5.08
2384.6MHz,5.08
2384.8MHz,3.39
2385.0MHz,3.39
2385.2MHz,3.39
2385.4MHz,1.69
2385.6MHz,1.69
2385.8MHz,1.69
2386.0MHz,1.69
2386.2MHz,0.0
2386.4MHz,0.0
2386.6MHz,0.0
2386.8MHz,0.0
2387.0MHz,0.0
2387.2MHz,0.0
2387.4MHz,0.0
2387.6MHz,0.0
2387.8MHz,0.0
2388.0MHz,0.0
2388.2MHz,0.0
2388.4MHz,0.0
2388.6MHz,0.0
2388.8MHz,0.0
2389.0MHz,0.0
2389.2MHz,0.0
2389.4MHz,0.0
2389.6MHz,0.0
2389.8MHz,0.0
2390.0MHz,0.0
2390.2MHz,0.0
2390.4MHz,0.0
2390.6MHz,0.0
2390.8MHz,0.0
2391.0MHz,0.0
2391.2MHz,0.0
2391.4MHz,0.0
2391.6MHz,0.0
2391.8MHz,0.0
2392.0MHz,0.0
2392.2MHz,1.69
2392.4MHz,1.69
2392.6MHz,1.69
2392.8MHz,1.69
2393.0MHz,1.69
2393.2MHz,1.69
2393.4MHz,1.69
2393.6MHz,1.69
2393.8MHz,1.69
2394.0MHz,1.69
2394.2MHz,1.69
2394.4MHz,1.69
2394.6MHz,1.69
2394.8MHz,1.69
2395.0MHz,3.39
2395.2MHz,5.08
2395.4MHz,5.08
2395.6MHz,5.08
2395.8MHz,5.08
2396.0MHz,5.08
2396.2MHz,5.08
2396.4MHz,5.08
2396.6MHz,5.08
2396.8MHz,5.08
2397.0MHz,6.78
2397.2MHz,6.78
2397.4MHz,6.78
2397.6MHz,8.47
2397.8MHz,8.47
2398.0MHz,8.47
2398.2MHz,11.86
2398.4MHz,18.64
2398.6MHz,15.25
2398.8MHz,8.47
2399.0MHz,6.78
2399.2MHz,5.08
2399.4MHz,5.08
2399.6MHz,5.08
2399.8MHz,5.08
2400.0MHz,1.69
2400.2MHz,1.69
2400.4MHz,1.69
2400.6MHz,1.69
2400.8MHz,3.39
2401.0MHz,5.08
2401.2MHz,16.95
2401.4MHz,30.51
2401.6MHz,40.68
2401.8MHz,35.59
2402.0MHz,20.34
2402.2MHz,8.47
2402.4MHz,6.78
2402.6MHz,6.78
2402.8MHz,5.08
2403.0MHz,6.78
2403.2MHz,5.08
2403.4MHz,6.78
2403.6MHz,6.78
2403.8MHz,8.47
2404.0MHz,8.47
2404.2MHz,8.47
2404.4MHz,10.17
2404.6MHz,10.17
2404.8MHz,8.47
2405.0MHz,8.47
2405.2MHz,8.47
2405.4MHz,6.78
2405.6MHz,6.78
2405.8MHz,8.47
2406.0MHz,6.78
2406.2MHz,6.78
2406.4MHz,5.08
2406.6MHz,8.47
2406.8MHz,16.95
2407.0MHz,22.03
2407.2MHz,22.03
2407.4MHz,22.03
2407.6MHz,22.03
2407.8MHz,22.03
2408.0MHz,23.73
2408.2MHz,27.12
2408.4MHz,25.42
2408.6MHz,23.73
2408.8MHz,23.73
2409.0MHz,23.73
2409.2MHz,23.73
2409.4MHz,28.81
2409.6MHz,25.42
2409.8MHz,23.73
2410.0MHz,25.42
2410.2MHz,28.81
2410.4MHz,30.51
2410.6MHz,32.2
2410.8MHz,30.51
2411.0MHz,32.2
2411.2MHz,35.59
2411.4MHz,33.9
2411.6MHz,28.81
2411.8MHz,23.73
2412.0MHz,23.73
2412.2MHz,23.73
2412.4MHz,30.51
2412.6MHz,35.59
2412.8MHz,37.29
2413.0MHz,37.29
2413.2MHz,33.9
2413.4MHz,32.2
2413.6MHz,32.2
2413.8MHz,35.59
2414.0MHz,32.2
2414.2MHz,30.51
2414.4MHz,32.2
2414.6MHz,30.51
2414.8MHz,30.51
2415.0MHz,30.51
2415.2MHz,27.12
2415.4MHz,25.42
2415.6MHz,25.42
2415.8MHz,27.12
2416.0MHz,25.42
2416.2MHz,23.73
2416.4MHz,22.03
2416.6MHz,22.03
2416.8MHz,20.34
2417.0MHz,22.03
2417.2MHz,18.64
2417.4MHz,11.86
2417.6MHz,10.17
2417.8MHz,11.86
2418.0MHz,13.56
2418.2MHz,13.56
2418.4MHz,10.17
2418.6MHz,8.47
2418.8MHz,8.47
2419.0MHz,8.47
2419.2MHz,8.47
2419.4MHz,8.47
2419.6MHz,8.47
2419.8MHz,8.47
2420.0MHz,10.17
2420.2MHz,10.17
2420.4MHz,6.78
2420.6MHz,6.78
2420.8MHz,6.78
2421.0MHz,5.08
2421.2MHz,3.39
2421.4MHz,3.39
2421.6MHz,3.39
2421.8MHz,3.39
2422.0MHz,3.39
2422.2MHz,3.39
2422.4MHz,3.39
2422.6MHz,3.39
2422.8MHz,3.39
2423.0MHz,3.39
2423.2MHz,3.39
2423.4MHz,3.39
2423.6MHz,5.08
2423.8MHz,5.08
2424.0MHz,5.08
2424.2MHz,5.08
2424.4MHz,5.08
2424.6MHz,3.39
2424.8MHz,8.47
2425.0MHz,8.47
2425.2MHz,8.47
2425.4MHz,5.08
2425.6MHz,5.08
2425.8MHz,5.08
2426.0MHz,6.78
2426.2MHz,5.08
2426.4MHz,5.08
2426.6MHz,5.08
2426.8MHz,5.08
2427.0MHz,5.08
2427.2MHz,3.39
2427.4MHz,5.08
2427.6MHz,8.47
2427.8MHz,10.17
2428.0MHz,15.25
2428.2MHz,16.95
2428.4MHz,20.34
2428.6MHz,22.03
2428.8MHz,25.42
2429.0MHz,23.73
2429.2MHz,23.73
2429.4MHz,22.03
2429.6MHz,23.73
2429.8MHz,25.42
2430.0MHz,23.73
2430.2MHz,20.34
2430.4MHz,23.73
2430.6MHz,25.42
2430.8MHz,28.81
2431.0MHz,25.42
2431.2MHz,22.03
2431.4MHz,20.34
2431.6MHz,25.42
2431.8MHz,33.9
2432.0MHz,40.68
2432.2MHz,40.68
2432.4MHz,30.51
2432.6MHz,28.81
2432.8MHz,28.81
2433.0MHz,30.51
2433.2MHz,32.2
2433.4MHz,32.2
2433.6MHz,32.2
2433.8MHz,32.2
2434.0MHz,32.2
2434.2MHz,32.2
2434.4MHz,30.51
2434.6MHz,30.51
2434.8MHz,30.51
2435.0MHz,30.51
2435.2MHz,30.51
2435.4MHz,30.51
2435.6MHz,30.51
2435.8MHz,30.51
2436.0MHz,30.51
2436.2MHz,32.2
2436.4MHz,30.51
2436.6MHz,28.81
2436.8MHz,25.42
2437.0MHz,23.73
2437.2MHz,25.42
2437.4MHz,30.51
2437.6MHz,32.2
2437.8MHz,32.2
2438.0MHz,30.51
2438.2MHz,30.51
2438.4MHz,32.2
2438.6MHz,32.2
2438.8MHz,32.2
2439.0MHz,28.81
2439.2MHz,28.81
2439.4MHz,30.51
2439.6MHz,28.81
2439.8MHz,28.81
2440.0MHz,28.81
2440.2MHz,28.81
2440.4MHz,28.81
2440.6MHz,28.81
2440.8MHz,28.81
2441.0MHz,28.81
2441.2MHz,28.81
2441.4MHz,28.81
2441.6MHz,28.81
2441.8MHz,30.51
2442.0MHz,25.42
2442.2MHz,23.73
2442.4MHz,20.34
2442.6MHz,20.34
2442.8MHz,23.73
2443.0MHz,23.73
2443.2MHz,23.73
2443.4MHz,22.03
2443.6MHz,18.64
2443.8MHz,16.95
2444.0MHz,16.95
2444.2MHz,13.56
2444.4MHz,11.86
2444.6MHz,11.86
2444.8MHz,11.86
2445.0MHz,11.86
2445.2MHz,11.86
2445.4MHz,11.86
2445.6MHz,10.17
2445.8MHz,8.47
2446.0MHz,5.08
2446.2MHz,1.69
2446.4MHz,0.0
2446.6MHz,0.0
2446.8MHz,0.0
2447.0MHz,1.69
2447.2MHz,3.39
2447.4MHz,5.08
2447.6MHz,6.78
2447.8MHz,6.78
2448.0MHz,11.86
2448.2MHz,18.64
2448.4MHz,27.12
2448.6MHz,27.12
2448.8MHz,13.56
2449.0MHz,5.08
2449.2MHz,3.39
2449.4MHz,3.39
2449.6MHz,1.69
2449.8MHz,1.69
2450.0MHz,1.69
2450.2MHz,1.69
2450.4MHz,1.69
2450.6MHz,1.69
2450.8MHz,3.39
2451.0MHz,3.39
2451.2MHz,6.78
2451.4MHz,16.95
2451.6MHz,16.95
2451.8MHz,16.95
2452.0MHz,6.78
2452.2MHz,6.78
2452.4MHz,5.08
2452.6MHz,3.39
2452.8MHz,1.69
2453.0MHz,5.08
2453.2MHz,6.78
2453.4MHz,6.78
2453.6MHz,5.08
2453.8MHz,5.08
2454.0MHz,6.78
2454.2MHz,8.47
2454.4MHz,11.86
2454.6MHz,11.86
2454.8MHz,10.17
2455.0MHz,10.17
2455.2MHz,11.86
2455.4MHz,13.56
2455.6MHz,16.95
2455.8MHz,18.64
2456.0MHz,18.64
2456.2MHz,15.25
2456.4MHz,15.25
2456.6MHz,13.56
2456.8MHz,18.64
2457.0MHz,25.42
2457.2MHz,27.12
2457.4MHz,25.42
2457.6MHz,23.73
2457.8MHz,23.73
2458.0MHz,27.12
2458.2MHz,28.81
2458.4MHz,28.81
2458.6MHz,27.12
2458.8MHz,27.12
2459.0MHz,25.42
2459.2MHz,25.42
2459.4MHz,27.12
2459.6MHz,30.51
2459.8MHz,30.51
2460.0MHz,32.2
2460.2MHz,35.59
2460.4MHz,35.59
2460.6MHz,37.29
2460.8MHz,37.29
2461.0MHz,40.68
2461.2MHz,40.68
2461.4MHz,38.98
2461.6MHz,35.59
2461.8MHz,27.12
2462.0MHz,25.42
2462.2MHz,27.12
2462.4MHz,40.68
2462.6MHz,40.68
2462.8MHz,40.68
2463.0MHz,40.68
2463.2MHz,40.68
2463.4MHz,40.68
2463.6MHz,40.68
2463.8MHz,38.98
2464.0MHz,38.98
2464.2MHz,38.98
2464.4MHz,38.98
2464.6MHz,38.98
2464.8MHz,40.68
2465.0MHz,35.59
2465.2MHz,35.59
2465.4MHz,35.59
2465.6MHz,33.9
2465.8MHz,32.2
2466.0MHz,30.51
2466.2MHz,30.51
2466.4MHz,30.51
2466.6MHz,30.51
2466.8MHz,28.81
2467.0MHz,27.12
2467.2MHz,22.03
2467.4MHz,15.25
2467.6MHz,15.25
2467.8MHz,16.95
2468.0MHz,16.95
2468.2MHz,18.64
2468.4MHz,16.95
2468.6MHz,16.95
2468.8MHz,13.56
2469.0MHz,15.25
2469.2MHz,15.25
2469.4MHz,15.25
2469.6MHz,15.25
2469.8MHz,13.56
2470.0MHz,15.25
2470.2MHz,15.25
2470.4MHz,13.56
2470.6MHz,13.56
2470.8MHz,13.56
2471.0MHz,10.17
2471.2MHz,8.47
2471.4MHz,8.47
2471.6MHz,8.47
2471.8MHz,8.47
2472.0MHz,8.47
2472.2MHz,8.47
2472.4MHz,8.47
2472.6MHz,8.47
2472.8MHz,8.47
2473.0MHz,8.47
2473.2MHz,8.47
2473.4MHz,8.47
2473.6MHz,8.47
2473.8MHz,10.17
2474.0MHz,10.17
2474.2MHz,10.17
2474.4MHz,8.47
2474.6MHz,8.47
2474.8MHz,8.47
2475.0MHz,8.47
2475.2MHz,8.47
2475.4MHz,8.47
2475.6MHz,8.47
2475.8MHz,11.86
2476.0MHz,11.86
2476.2MHz,11.86
2476.4MHz,8.47
2476.6MHz,8.47
2476.8MHz,8.47
2477.0MHz,8.47
2477.2MHz,8.47
2477.4MHz,8.47
2477.6MHz,8.47
2477.8MHz,8.47
2478.0MHz,10.17
2478.2MHz,11.86
2478.4MHz,11.86
2478.6MHz,13.56
2478.8MHz,15.25
2479.0MHz,15.25
2479.2MHz,15.25
2479.4MHz,15.25
2479.6MHz,16.95
2479.8MHz,16.95
2480.0MHz,22.03
2480.2MHz,20.34
2480.4MHz,16.95
2480.6MHz,18.64
2480.8MHz,16.95
2481.0MHz,15.25
2481.2MHz,11.86
2481.4MHz,8.47
2481.6MHz,10.17
2481.8MHz,13.56
2482.0MHz,13.56
2482.2MHz,13.56
2482.4MHz,13.56
2482.6MHz,15.25
2482.8MHz,15.25
2483.0MHz,15.25
2483.2MHz,13.56
2483.4MHz,13.56
2483.6MHz,13.56
2483.8MHz,13.56
2484.0MHz,13.56
2484.2MHz,13.56
2484.4MHz,13.56
2484.6MHz,13.56
2484.8MHz,13.56
2485.0MHz,13.56
2485.2MHz,13.56
2485.4MHz,13.56
2485.6MHz,13.56
2485.8MHz,15.25
2486.0MHz,15.25
2486.2MHz,15.25
2486.4MHz,13.56
2486.6MHz,13.56
2486.8MHz,13.56
2487.0MHz,11.86
2487.2MHz,13.56
2487.4MHz,13.56
2487.6MHz,13.56
2487.8MHz,13.56
2488.0MHz,13.56
2488.2MHz,13.56
2488.4MHz,13.56
2488.6MHz,13.56
2488.8MHz,13.56
2489.0MHz,13.56
2489.2MHz,13.56
2489.4MHz,13.56
2489.6MHz,13.56
2489.8MHz,13.56
2490.0MHz,13.56
2490.2MHz,13.56
2490.4MHz,13.56
2490.6MHz,13.56
2490.8MHz,13.56
2491.0MHz,13.56
2491.2MHz,13.56
2491.4MHz,13.56
2491.6MHz,13.56
2491.8MHz,13.56
2492.0MHz,13.56
2492.2MHz,13.56
2492.4MHz,8.47
2492.6MHz,8.47
2492.8MHz,10.17
2493.0MHz,13.56
2493.2MHz,10.17
2493.4MHz,10.17
2493.6MHz,8.47
2493.8MHz,8.47
2494.0MHz,8.47
2494.2MHz,8.47
2494.4MHz,8.47
2494.6MHz,8.47
2494.8MHz,6.78
2495.0MHz,8.47
2495.2MHz,8.47
2495.4MHz,6.78
2495.6MHz,6.78
2495.8MHz,6.78
2496.0MHz,3.39
2496.2MHz,1.69
2496.4MHz,3.39
2496.6MHz,3.39
2496.8MHz,3.39
2497.0MHz,3.39
2497.2MHz,3.39
2497.4MHz,3.39
2497.6MHz,3.39
2497.8MHz,5.08
2498.0MHz,5.08
2498.2MHz,10.17
2498.4MHz,15.25
2498.6MHz,10.17
2498.8MHz,3.39
2499.0MHz,3.39
2499.2MHz,3.39
2499.4MHz,3.39
2499.6MHz,3.39
2499.8MHz,3.39
2500.0MHz,6.78
2500.2MHz,6.78
2500.4MHz,8.47
2500.6MHz,15.25
2500.8MHz,15.25
2501.0MHz,15.25
2501.2MHz,16.95
2501.4MHz,22.03
2501.6MHz,20.34
2501.8MHz,18.64
2502.0MHz,16.95
2502.2MHz,16.95
2502.4MHz,16.95
2502.6MHz,15.25
2502.8MHz,15.25
2503.0MHz,15.25
2503.2MHz,11.86
2503.4MHz,11.86
2503.6MHz,13.56
2503.8MHz,10.17
2504.0MHz,8.47
2504.2MHz,6.78
2504.4MHz,6.78
2504.6MHz,6.78
2504.8MHz,6.78
2505.0MHz,6.78
2505.2MHz,6.78
2505.4MHz,8.47
2505.6MHz,8.47
2505.8MHz,8.47
2506.0MHz,8.47
2506.2MHz,10.17
2506.4MHz,11.86
2506.6MHz,13.56
2506.8MHz,13.56
2507.0MHz,15.25
2507.2MHz,16.95
2507.4MHz,18.64
2507.6MHz,18.64
2507.8MHz,18.64
2508.0MHz,20.34
2508.2MHz,20.34
2508.4MHz,20.34
2508.6MHz,20.34
2508.8MHz,20.34
2509.0MHz,20.34
2509.2MHz,20.34
2509.4MHz,20.34
2509.6MHz,20.34
2509.8MHz,20.34
2510.0MHz,22.03
2510.2MHz,22.03
2510.4MHz,22.03
2510.6MHz,22.03
2510.8MHz,22.03
2511.0MHz,22.03
2511.2MHz,25.42
2511.4MHz,25.42
2511.6MHz,22.03
2511.8MHz,20.34
2512.0MHz,20.34
2512.2MHz,22.03
2512.4MHz,25.42
2512.6MHz,25.42
2512.8MHz,25.42
2513.0MHz,25.42
2513.2MHz,25.42
2513.4MHz,25.42
2513.6MHz,25.42
2513.8MHz,25.42
2514.0MHz,25.42
2514.2MHz,25.42
2514.4MHz,25.42
2514.6MHz,25.42
2514.8MHz,25.42
2515.0MHz,23.73
2515.2MHz,22.03
2515.4MHz,22.03
2515.6MHz,22.03
2515.8MHz,22.03
2516.0MHz,22.03
2516.2MHz,22.03
2516.4MHz,20.34
2516.6MHz,20.34
2516.8MHz,20.34
2517.0MHz,20.34
2517.2MHz,20.34
2517.4MHz,20.34
2517.6MHz,20.34
2517.8MHz,20.34
2518.0MHz,20.34
2518.2MHz,20.34
2518.4MHz,20.34
2518.6MHz,20.34
2518.8MHz,20.34
2519.0MHz,20.34
2519.2MHz,20.34
2519.4MHz,20.34
2519.6MHz,20.34
2519.8MHz,20.34
2520.0MHz,22.03
2520.2MHz,22.03
2520.4MHz,20.34
2520.6MHz,20.34
2520.8MHz,20.34
2521.0MHz,20.34
2521.2MHz,20.34
2521.4MHz,20.34
2521.6MHz,20.34
2521.8MHz,20.34
2522.0MHz,20.34
2522.2MHz,20.34
2522.4MHz,20.34
2522.6MHz,20.34
2522.8MHz,20.34
2523.0MHz,20.34
2523.2MHz,20.34
2523.4MHz,20.34
2523.6MHz,22.03
2523.8MHz,22.03
2524.0MHz,22.03
2524.2MHz,22.03
2524.4MHz,20.34
2524.6MHz,20.34
2524.8MHz,20.34
2525.0MHz,20.34
2525.2MHz,20.34
2525.4MHz,20.34
2525.6MHz,20.34
2525.8MHz,20.34
2526.0MHz,20.34
2526.2MHz,20.34
2526.4MHz,20.34
2526.6MHz,20.34
2526.8MHz,20.34
2527.0MHz,20.34
2527.2MHz,20.34
2527.4MHz,20.34
2527.6MHz,20.34
2527.8MHz,18.64
2528.0MHz,18.64
2528.2MHz,18.64
2528.4MHz,18.64
2528.6MHz,18.64
2528.8MHz,18.64
2529.0MHz,18.64
2529.2MHz,20.34
2529.4MHz,20.34
2529.6MHz,20.34
2529.8MHz,20.34
2530.0MHz,20.34
2530.2MHz,20.34
2530.4MHz,20.34
2530.6MHz,20.34
2530.8MHz,18.64
2531.0MHz,16.95
2531.2MHz,16.95
2531.4MHz,15.25
2531.6MHz,15.25
2531.8MHz,15.25
2532.0MHz,15.25
2532.2MHz,15.25
2532.4MHz,15.25
2532.6MHz,15.25
2532.8MHz,13.56
2533.0MHz,13.56
2533.2MHz,13.56
2533.4MHz,13.56
2533.6MHz,13.56
2533.8MHz,11.86
2534.0MHz,11.86
2534.2MHz,11.86
2534.4MHz,11.86
2534.6MHz,11.86
2534.8MHz,8.47
2535.0MHz,8.47
2535.2MHz,5.08
2535.4MHz,5.08
2535.6MHz,5.08
2535.8MHz,5.08
2536.0MHz,5.08
2536.2MHz,5.08
2536.4MHz,5.08
2536.6MHz,5.08
2536.8MHz,5.08
2537.0MHz,5.08
2537.2MHz,5.08
2537.4MHz,5.08
2537.6MHz,5.08
2537.8MHz,5.08
2538.0MHz,5.08
2538.2MHz,5.08
2538.4MHz,5.08
2538.6MHz,5.08
2538.8MHz,5.08
2539.0MHz,5.08
2539.2MHz,5.08
2539.4MHz,5.08
2539.6MHz,5.08
2539.8MHz,5.08
2540.0MHz,5.08
2540.2MHz,5.08
2540.4MHz,5.08
2540.6MHz,5.08
2540.8MHz,5.08
2541.0MHz,5.08
2541.2MHz,5.08
2541.4MHz,5.08
2541.6MHz,5.08
2541.8MHz,5.08
2542.0MHz,5.08
2542.2MHz,5.08
2542.4MHz,5.08
2542.6MHz,5.08
2542.8MHz,5.08
2543.0MHz,5.08
2543.2MHz,5.08
2543.4MHz,5.08
2543.6MHz,5.08
2543.8MHz,5.08
2544.0MHz,6.78
2544.2MHz,6.78
2544.4MHz,8.47
2544.6MHz,8.47
2544.8MHz,10.17
2545.0MHz,10.17
2545.2MHz,10.17
2545.4MHz,10.17
2545.6MHz,11.86
2545.8MHz,15.25
2546.0MHz,11.86
2546.2MHz,13.56
2546.4MHz,15.25
2546.6MHz,15.25
2546.8MHz,15.25
2547.0MHz,15.25
2547.2MHz,15.25
2547.4MHz,16.95
2547.6MHz,16.95
2547.8MHz,20.34
2548.0MHz,16.95
2548.2MHz,18.64
2548.4MHz,18.64
2548.6MHz,20.34
2548.8MHz,18.64
2549.0MHz,16.95
2549.2MHz,15.25
2549.4MHz,15.25
2549.6MHz,8.47
2549.8MHz,6.78
2550.0MHz,5.08
2550.2MHz,5.08
2550.4MHz,5.08
2550.6MHz,5.08
2550.8MHz,5.08
2551.0MHz,5.08
2551.2MHz,6.78
2551.4MHz,10.17
2551.6MHz,6.78
2551.8MHz,10.17
2552.0MHz,6.78
2552.2MHz,5.08
2552.4MHz,6.78
2552.6MHz,5.08
2552.8MHz,5.08
2553.0MHz,5.08
2553.2MHz,5.08
2553.4MHz,3.39
2553.6MHz,3.39
2553.8MHz,3.39
2554.0MHz,3.39
2554.2MHz,3.39
2554.4MHz,3.39
2554.6MHz,1.69
2554.8MHz,0.0
2555.0MHz,1.69
2555.2MHz,1.69
2555.4MHz,3.39
2555.6MHz,3.39
2555.8MHz,5.08
2556.0MHz,5.08
2556.2MHz,5.08
2556.4MHz,5.08
2556.6MHz,6.78
2556.8MHz,6.78
2557.0MHz,6.78
2557.2MHz,6.78
2557.4MHz,6.78
2557.6MHz,6.78
2557.8MHz,6.78
2558.0MHz,6.78
2558.2MHz,6.78
2558.4MHz,6.78
2558.6MHz,8.47
2558.8MHz,8.47
2559.0MHz,10.17
2559.2MHz,10.17
2559.4MHz,10.17
2559.6MHz,10.17
2559.8MHz,10.17
2560.0MHz,10.17
2560.2MHz,10.17
2560.4MHz,10.17
2560.6MHz,10.17
2560.8MHz,10.17
2561.0MHz,10.17
2561.2MHz,10.17
2561.4MHz,10.17
2561.6MHz,10.17
2561.8MHz,10.17
2562.0MHz,10.17
2562.2MHz,10.17
2562.4MHz,10.17
2562.6MHz,10.17
2562.8MHz,10.17
2563.0MHz,10.17
2563.2MHz,10.17
2563.4MHz,10.17
2563.6MHz,10.17
2563.8MHz,10.17
2564.0MHz,10.17
2564.2MHz,10.17
2564.4MHz,10.17
2564.6MHz,10.17
2564.8MHz,10.17
2565.0MHz,10.17
2565.2MHz,10.17
2565.4MHz,10.17
2565.6MHz,10.17
2565.8MHz,10.17
