,SRO
2153.2MHz,0.0
2153.4MHz,0.0
2153.6MHz,0.0
2153.8MHz,0.0
2154.0MHz,0.0
2154.2MHz,0.0
2154.4MHz,0.0
2154.6MHz,0.0
2154.8MHz,0.0
2155.0MHz,0.0
2155.2MHz,0.0
2155.4MHz,28.81
2155.6MHz,44.07
2155.8MHz,23.73
2156.0MHz,11.86
2156.2MHz,15.25
2156.4MHz,15.25
2156.6MHz,20.34
2156.8MHz,18.64
2157.0MHz,18.64
2157.2MHz,18.64
2157.4MHz,18.64
2157.6MHz,33.9
2157.8MHz,35.59
2158.0MHz,15.25
2158.2MHz,15.25
2158.4MHz,16.95
2158.6MHz,25.42
2158.8MHz,28.81
2159.0MHz,25.42
2159.2MHz,15.25
2159.4MHz,15.25
2159.6MHz,15.25
2159.8MHz,16.95
2160.0MHz,18.64
2160.2MHz,23.73
2160.4MHz,32.2
2160.6MHz,25.42
2160.8MHz,20.34
2161.0MHz,22.03
2161.2MHz,20.34
2161.4MHz,22.03
2161.6MHz,22.03
2161.8MHz,23.73
2162.0MHz,23.73
2162.2MHz,25.42
2162.4MHz,47.46
2162.6MHz,52.54
2162.8MHz,44.07
2163.0MHz,27.12
2163.2MHz,23.73
2163.4MHz,15.25
2163.6MHz,10.17
2163.8MHz,10.17
2164.0MHz,8.47
2164.2MHz,3.39
2164.4MHz,1.69
2164.6MHz,0.0
2164.8MHz,0.0
2165.0MHz,0.0
2165.2MHz,0.0
2165.4MHz,0.0
2165.6MHz,0.0
2165.8MHz,0.0
2166.0MHz,0.0
2166.2MHz,0.0
2166.4MHz,0.0
2166.6MHz,0.0
2166.8MHz,0.0
2167.0MHz,0.0
2167.2MHz,0.0
2167.4MHz,0.0
2167.6MHz,0.0
2167.8MHz,0.0
2168.0MHz,0.0
2168.2MHz,0.0
2168.4MHz,0.0
2168.6MHz,0.0
2168.8MHz,0.0
2169.0MHz,0.0
2169.2MHz,0.0
2169.4MHz,0.0
2169.6MHz,0.0
2169.8MHz,0.0
2170.0MHz,0.0
2170.2MHz,0.0
2170.4MHz,0.0
2170.6MHz,0.0
2170.8MHz,0.0
2171.0MHz,0.0
2171.2MHz,0.0
2171.4MHz,0.0
2171.6MHz,0.0
2171.8MHz,0.0
2172.0MHz,0.0
2172.2MHz,0.0
2172.4MHz,0.0
2172.6MHz,0.0
2172.8MHz,0.0
2173.0MHz,0.0
2173.2MHz,0.0
2173.4MHz,0.0
2173.6MHz,0.0
2173.8MHz,0.0
2174.0MHz,0.0
2174.2MHz,0.0
2174.4MHz,0.0
2174.6MHz,0.0
2174.8MHz,0.0
2175.0MHz,0.0
2175.2MHz,0.0
2175.4MHz,1.69
2175.6MHz,1.69
2175.8MHz,1.69
2176.0MHz,3.39
2176.2MHz,1.69
2176.4MHz,1.69
2176.6MHz,1.69
2176.8MHz,1.69
2177.0MHz,1.69
2177.2MHz,1.69
2177.4MHz,1.69
2177.6MHz,1.69
2177.8MHz,1.69
2178.0MHz,0.0
2178.2MHz,0.0
2178.4MHz,0.0
2178.6MHz,0.0
2178.8MHz,3.39
2179.0MHz,5.08
2179.2MHz,8.47
2179.4MHz,6.78
2179.6MHz,3.39
2179.8MHz,1.69
2180.0MHz,1.69
2180.2MHz,1.69
2180.4MHz,1.69
2180.6MHz,1.69
2180.8MHz,1.69
2181.0MHz,1.69
2181.2MHz,1.69
2181.4MHz,1.69
2181.6MHz,1.69
2181.8MHz,1.69
2182.0MHz,1.69
2182.2MHz,1.69
2182.4MHz,1.69
2182.6MHz,1.69
2182.8MHz,1.69
2183.0MHz,1.69
2183.2MHz,1.69
2183.4MHz,1.69
2183.6MHz,1.69
2183.8MHz,0.0
2184.0MHz,1.69
2184.2MHz,1.69
2184.4MHz,1.69
2184.6MHz,1.69
2184.8MHz,0.0
2185.0MHz,0.0
2185.2MHz,0.0
2185.4MHz,0.0
2185.6MHz,0.0
2185.8MHz,0.0
2186.0MHz,0.0
2186.2MHz,0.0
2186.4MHz,0.0
2186.6MHz,0.0
2186.8MHz,0.0
2187.0MHz,1.69
2187.2MHz,1.69
2187.4MHz,1.69
2187.6MHz,1.69
2187.8MHz,5.08
2188.0MHz,13.56
2188.2MHz,13.56
2188.4MHz,13.56
2188.6MHz,13.56
